positioning_time,quality,direction,Gps.speed,Gps.flag,Speed.speed,pulse,Speed.flag,Back,Brake+Back,COG,No fix,DR,3D,3D+DR,lat,lng,seq_no,status,satellite_num,pdop,altitude,ACC OFF,ACC ON
20190802T204519+0900,1,281,24.5,1,20.9,17,1,,,2,,,-50,,25.043912,121.522,,2,6,3.3,51.7,,
,,,24.5,,20.9,17,0,,,2,,,,,,,,,,,,,
20190802T204520+0900,1,278,20.2,1,19,14,0,,,3,,,-50,,25.043917,121.521973,,2,7,3.3,51.7,,
,,,20.2,,18.2,14,0,,,3,,,,,,,,,,,,,
20190802T204521+0900,1,278,20.2,1,18.2,14,0,,,0,,,-50,,25.043927,121.521921,,2,8,2.2,51.7,,
,,,20.2,,20.5,14,0,,,0,,,,,,,,,,,,,
20190802T204522+0900,1,283,26,1,23.4,18,0,,,5,,,-50,,25.043938,121.521864,,2,8,2.1,51.7,,
,,,26,,25.8,18,2,,,5,,,,,,,,,,,,,
20190802T204523+0900,1,287,30.3,1,28.1,21,0,,,4,,,-50,,25.043958,121.521795,,2,9,2,51.9,,
,,,30.3,,30.1,21,1,,,4,,,,,,,,,,,,,
20190802T204525+0900,1,288,31.7,1,29,22,3,,,1,,,-50,,25.044008,121.521636,,2,8,3.2,51.7,,
,,,31.7,,29,20,1,,,1,,,,,,,,,,,,,
20190802T204525+0900,1,289,28.8,1,26.7,20,3,,,1,,,-50,,25.044021,121.521599,,2,9,2.2,51.7,,
,,,28.8,,24.5,17,3,,,1,,,,,,,,,,,,,
20190802T204526+0900,1,295,24.5,1,21.9,17,1,,,6,,,-50,,25.044053,121.521537,,2,10,2.3,51.7,,
,,,24.5,,19,13,1,,,6,,,,,,,,,,,,,
20190802T204527+0900,1,304,18.7,1,16.5,13,2,,,9,,,-50,,25.044085,121.52149,,2,10,2.1,51.5,,
,,,18.7,,13.8,10,2,,,9,,,,,,,,,,,,,
20190802T204528+0900,1,319,14.4,1,13.8,10,0,,,15,,,-50,,25.044114,121.52146,,2,6,5,51.2,,
,,,14.4,,13.8,10,2,,,15,,,,,,,,,,,,,
20190802T204529+0900,1,343,14.4,1,13.9,10,0,,,24,,,-50,,25.044156,121.521445,,2,6,5,50.9,,
,,,14.4,,14.9,12,0,,,24,,,,,,,,,,,,,
20190802T204531+0900,1,13,17.3,1,19,12,0,,,30,,,-50,,25.044216,121.521448,,2,5,8.6,50.4,,
,,,17.3,,22,14,0,,,30,,,,,,,,,,,,,
20190802T204531+0900,1,15,20.2,1,22,14,0,,,2,,,-50,,25.044242,121.521455,,2,5,8.6,50.2,,
,,,20.2,,23.9,17,0,,,2,,,,,,,,,,,,,
20190802T204533+0900,1,15,24.5,1,27,17,0,,,0,,,-50,,25.044326,121.521479,,2,5,8.6,49.7,,
,,,24.5,,28.6,19,0,,,0,,,,,,,,,,,,,
20190802T204533+0900,6,14,27.4,1,29.4,19,0,,,1,,-50,,,25.044395,121.521499,,1,0,50,49.4,,
,,,27.4,,29.6,20,0,,,1,,,,,,,,,,,,,
20190802T204534+0900,6,12,28.8,1,30.6,20,0,,,2,,-50,,,25.044468,121.521518,,1,0,50,49.2,,
,,,28.8,,30.6,22,1,,,2,,,,,,,,,,,,,
